ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.rendimiento09	rendimiento09	1591090547686	 	3.3.1
REQUEST	105		Home	1591090562733	1591090562744	OK	 
REQUEST	30		Logged	1591090562779	1591090562780	OK	 
REQUEST	68		Login	1591090562779	1591090562780	OK	 
REQUEST	30		Logged Redirect 1	1591090562781	1591090562783	OK	 
USER	rendimiento09	106	START	1591090562871	1591090562871
REQUEST	106		Home	1591090562873	1591090562883	OK	 
REQUEST	31		Logged	1591090562910	1591090562914	OK	 
REQUEST	69		Login	1591090562909	1591090562913	OK	 
REQUEST	31		Logged Redirect 1	1591090562916	1591090562922	OK	 
USER	rendimiento09	107	START	1591090563000	1591090563000
REQUEST	107		Home	1591090563000	1591090563006	OK	 
REQUEST	32		Logged	1591090563051	1591090563052	OK	 
REQUEST	32		Logged Redirect 1	1591090563053	1591090563055	OK	 
REQUEST	70		Login	1591090563061	1591090563062	OK	 
USER	rendimiento09	108	START	1591090563116	1591090563116
REQUEST	108		Home	1591090563118	1591090563129	OK	 
REQUEST	33		Logged	1591090563157	1591090563159	OK	 
REQUEST	33		Logged Redirect 1	1591090563159	1591090563161	OK	 
REQUEST	71		Login	1591090563187	1591090563189	OK	 
USER	rendimiento09	109	START	1591090563248	1591090563248
REQUEST	109		Home	1591090563250	1591090563257	OK	 
REQUEST	34		Logged	1591090563292	1591090563295	OK	 
REQUEST	34		Logged Redirect 1	1591090563296	1591090563302	OK	 
REQUEST	72		Login	1591090563347	1591090563350	OK	 
USER	rendimiento09	110	START	1591090563377	1591090563377
REQUEST	110		Home	1591090563379	1591090563388	OK	 
REQUEST	35		Logged	1591090563411	1591090563413	OK	 
REQUEST	35		Logged Redirect 1	1591090563414	1591090563416	OK	 
REQUEST	73		Login	1591090563482	1591090563485	OK	 
USER	rendimiento09	111	START	1591090563507	1591090563507
REQUEST	111		Home	1591090563508	1591090563517	OK	 
REQUEST	36		Logged	1591090563552	1591090563554	OK	 
REQUEST	36		Logged Redirect 1	1591090563555	1591090563558	OK	 
USER	rendimiento09	112	START	1591090563627	1591090563627
REQUEST	112		Home	1591090563629	1591090563640	OK	 
REQUEST	74		Login	1591090563639	1591090563645	OK	 
REQUEST	37		Logged	1591090563661	1591090563663	OK	 
REQUEST	37		Logged Redirect 1	1591090563665	1591090563670	OK	 
USER	rendimiento09	113	START	1591090563760	1591090563760
REQUEST	75		Login	1591090563761	1591090563763	OK	 
REQUEST	113		Home	1591090563762	1591090563768	OK	 
REQUEST	38		Logged	1591090563791	1591090563792	OK	 
REQUEST	38		Logged Redirect 1	1591090563793	1591090563795	OK	 
USER	rendimiento09	114	START	1591090563876	1591090563876
REQUEST	114		Home	1591090563878	1591090563886	OK	 
REQUEST	76		Login	1591090563897	1591090563900	OK	 
REQUEST	39		Logged	1591090563939	1591090563942	OK	 
REQUEST	39		Logged Redirect 1	1591090563944	1591090563950	OK	 
USER	rendimiento09	115	START	1591090564021	1591090564021
REQUEST	77		Login	1591090564022	1591090564025	OK	 
REQUEST	115		Home	1591090564022	1591090564032	OK	 
REQUEST	40		Logged	1591090564047	1591090564049	OK	 
REQUEST	40		Logged Redirect 1	1591090564050	1591090564053	OK	 
